system,label,n,E,R,B_mean,B_std,B_runs
biogrid,Pan_troglodytes,44,43,3,2.0,0.0,"[2, 2, 2]"
biogrid,Plasmodium_falciparum_3D7,1802,3678,3,5.333333333333333,3.299831645537222,"[10, 3, 3]"
biogrid,Rattus_norvegicus,6029,10541,3,13.333333333333334,2.0548046676563256,"[11, 16, 13]"
biogrid,Saccharomyces_cerevisiae_S288c,7211,195338,3,95.33333333333333,8.498365855987975,"[87, 107, 92]"
biogrid,Schizosaccharomyces_pombe_972h,3761,14464,3,42.666666666666664,1.247219128924647,"[44, 41, 43]"
biogrid,Severe_acute_respiratory_syndrome_coronavirus,1568,1947,3,6.666666666666667,3.7712361663282534,"[12, 4, 4]"
biogrid,Severe_acute_respiratory_syndrome_coronavirus_2,8655,35777,3,4.0,0.816496580927726,"[4, 5, 3]"
biogrid,Vaccinia_Virus,125,126,3,2.6666666666666665,0.9428090415820634,"[4, 2, 2]"
biogrid,Xenopus_laevis,1446,1963,3,9.666666666666666,5.90668171555645,"[6, 18, 5]"
condmat,1993,83,156,3,3.6666666666666665,0.4714045207910317,"[4, 3, 4]"
condmat,1994,720,1333,3,14.0,0.0,"[14, 14, 14]"
condmat,1995,1978,4117,3,30.666666666666668,0.4714045207910317,"[31, 30, 31]"
condmat,1996,4184,9379,3,48.0,0.0,"[48, 48, 48]"
condmat,1997,7016,17459,3,68.0,1.4142135623730951,"[67, 70, 67]"
condmat,1998,10617,28413,3,93.0,3.7416573867739413,"[88, 94, 97]"
condmat,1999,15040,44309,3,129.66666666666666,23.79542439676633,"[109, 163, 117]"
condmat,2000,19293,61363,3,169.33333333333334,26.71246067953223,"[207, 148, 153]"
condmat,2001,24703,86855,3,180.33333333333334,8.806563209081938,"[188, 185, 168]"
condmat,2002,30107,111991,2,194.0,2.0,"[196, 192]"
condmat,2003,36076,141360,2,241.5,4.5,"[237, 246]"
condmat,2004,42772,175641,2,260.0,0.0,"[260, 260]"
condmat,2005,49914,213172,2,288.5,6.5,"[282, 295]"
condmat,2006,57029,253932,2,330.0,3.0,"[327, 333]"
condmat,2007,64524,295866,2,354.0,7.0,"[347, 361]"
condmat,2008,73118,353610,2,381.0,3.0,"[378, 384]"
condmat,2009,81829,413318,2,435.0,2.0,"[433, 437]"
condmat,2010,92562,486987,2,451.0,10.0,"[441, 461]"
condmat,2011,104022,566748,2,513.5,1.5,"[515, 512]"
condmat,2012,116250,654639,2,547.5,6.5,"[541, 554]"
condmat,2013,130008,759432,2,552.5,6.5,"[559, 546]"
condmat,2014,144015,879855,2,605.5,3.5,"[602, 609]"
