model,n_target,seed,n,E,B
ls,100000,4,100000,199997,200
ls,100000,5,100000,199997,204
ls,100000,6,100000,199997,189
ls,100000,7,100000,199997,198
ls,100000,8,100000,199997,187
ls,100000,9,100000,199997,190
ds,100000,0,100000,173859,217
ds,100000,1,100000,176003,157
ds,100000,2,100000,175257,156
ds,100000,3,100000,175977,153
ds,100000,4,100000,176645,172
ds,100000,5,100000,172072,143
ds,100000,6,100000,169639,158
ds,100000,7,100000,170602,153
ds,100000,8,100000,172907,170
ds,100000,9,100000,175985,152
