97 networks total; 0 already done
arxiv_authors/AstroPh                          n=   17903  B=  259.7 +/-  5.2  (R=3, 53s)
wordnet                                        n=  145145  B=  542.0 +/-  2.0  (R=2, 252s)
douban                                         n=  154908  B=   59.0 +/-  0.0  (R=1, 147s)
social_location/gowalla                        n=  196591  B=  330.0 +/-  0.0  (R=1, 457s)
dblp_coauthor_snap                             n=  317080  B=  681.0 +/-  0.0  (R=1, 266s)
petster                                        n=  601213  B= 1977.0 +/-  0.0  (R=1, 7726s)
mag_history_coauthor/full-proj                 n=  242048  B=  587.0 +/-  0.0  (R=1, 329s)
mag_geology_coauthor/full-proj                 n=  903973  B= 1379.0 +/-  0.0  (R=1, 3636s)
hyves                                          n= 1402673  B=  266.0 +/-  0.0  (R=1, 2853s)
as_skitter                                     n= 1694616  B= 1609.0 +/-  0.0  (R=1, 26262s)
dblp_coauthor                                  n= 1653767  B= 2003.0 +/-  0.0  (R=1, 7109s)
human_brains/BNU_1_0025864_session_1-bg: FAILED MemoryError:   (44s)
dblp_simplices/full-proj                       n= 1659954  B= 1927.0 +/-  0.0  (R=1, 7317s)
roadnet/CA                                     n= 1957027  B=  524.0 +/-  0.0  (R=1, 1990s)
us_roads/TX                                    n= 2037156  B=  348.0 +/-  0.0  (R=1, 1845s)
