n,unique_mean,unique_p,energy,multipath,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,6.74358035790124,1.5875000000000004,1.0,0.0,6.69892791555692,1.597142857142857
16,1.0,0.0,15.236179047012682,2.094166666666667,1.0,0.0,15.231369000497661,2.0949166666666663
32,1.0,0.0,32.16598170062078,2.532096774193548,1.0,0.0,32.237300954322876,2.5263104838709673
64,1.0,0.0,65.29779480022013,3.1113392857142865,1.0,0.0,65.8330619534553,3.0653075396825393
128,1.07,0.07,129.67632742684904,3.5353850885826774,1.0,0.0,131.78884735722903,3.5183956692913387
256,1.43,0.42,256.54515144693363,3.8349332107843144,1.02,0.02,262.83587179323536,3.9390943627450974
512,2.19,0.87,506.10440042475585,4.217012674290607,1.02,0.02,522.4796872611963,4.4461826534980435
1024,3.14,1.0,1000.1333128271165,4.769623732282502,1.14,0.14,1037.9091834869766,5.062552732465787
