n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,5.227820065021426,1.0357142857142863,2.25,1.3333333333333337,1.0,0.0,5.236094888437915,1.12
16,1.0,0.0,11.6682371468619,1.0798529411764706,2.4705882352941173,1.7061904761904763,1.0,0.0,11.513378813843758,1.2386764705882352
32,1.0,0.0,22.179917390973593,1.1298387096774194,2.5625,1.9253658536585365,1.0,0.0,22.020038245978075,1.317479838709677
64,1.0,0.0,45.25827402894697,1.186735576923077,2.6153846153846168,2.1056470588235294,1.0,0.0,45.019900939120305,1.4073990384615385
128,1.12,0.12,89.30387735104685,1.2462278543307088,2.640625,2.213905325443787,1.0,0.0,88.79900310683438,1.448074557086614
256,2.63,0.96,179.37606515308835,1.3165518604085602,2.653696498054476,2.2954545454545454,1.0,0.0,178.429414139528,1.505779122081712
512,4.51,1.0,357.3806468054535,1.3900579439823875,2.66015625,2.3487077826725407,1.0,0.0,355.6409573113402,1.5411462665117415
1024,7.2,1.0,715.3701226652357,1.461689786585366,2.6634146341463425,2.3961318681318673,1.0,0.0,711.8150335902451,1.5673200647865855
