n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,5.141282910940768,1.7035714285714285,2.5,1.6859999999999997,1.0,0.0,5.4128131039186265,1.2271428571428569
16,1.0,0.0,10.788601549649234,2.2353333333333336,2.75,2.1986363636363633,1.0,0.0,11.200085670842272,1.3481666666666667
32,1.03,0.03,21.926570515322137,3.0291733870967743,2.875,2.5660869565217386,1.0,0.0,22.718813996916307,1.465947580645161
64,1.5,0.5,44.116352828206146,4.1162351190476185,2.9375,2.8768085106382983,1.0,0.0,45.64686704230513,1.5957093253968255
128,2.41,0.8,88.38573734809894,5.737209645669292,2.96875,3.1082631578947364,1.0,0.0,91.4661469846913,1.714099409448819
256,4.26,0.94,176.67312678791765,8.072368872549019,2.984375,3.303926701570681,1.0,0.0,183.06656505949934,1.7840557598039215
512,6.84,0.97,353.22130534628485,11.432958277274949,2.9921875,3.44958224543081,1.0,0.0,366.1833032596753,1.8753548495596868
1024,10.14,0.96,706.0608891368875,16.000594223484846,2.99609375,3.5634224250325945,1.0,0.0,731.7247294784323,1.9436523628421312
