n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,5.888496414360402,1.3521428571428578,3.25,2.7984615384615394,1.0,0.0,5.745399600505584,1.348571428571429
16,1.0,0.0,12.141975345148118,1.5738333333333332,3.625,3.7182758620689658,1.0,0.0,12.11070912290816,1.5833333333333335
32,1.08,0.08,24.661116243330344,1.8692137096774188,3.8125,4.41016393442623,1.0,0.0,24.703392445969413,1.8223790322580644
64,2.69,0.95,49.51263431342023,2.223655753968254,3.90625,4.959759999999999,1.0,0.0,49.95672702544859,2.0351190476190473
128,4.52,1.0,99.12058935213437,2.6634042814960632,3.953125,5.372411067193676,1.0,0.0,100.55862313650219,2.250938730314961
256,7.19,1.0,198.1768083524673,3.215079350490196,3.9765625,5.626129666011788,1.0,0.0,201.80884937675117,2.4317999387254896
512,11.63,1.0,395.8790125966997,3.8784616560665364,3.98828125,5.796816846229188,1.0,0.0,403.891147855542,2.5384378057729946
1024,16.17,1.0,791.7073558648843,4.69784944327346,3.994140625,5.907359413202936,1.0,0.0,808.8959456022264,2.6368311644672535
