n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
1,1.0,0.0,1.9999999999999996,1.0,2.0,1.0,1.0,0.0,1.9999999999999996,1.0
2,1.0,0.0,4.472135954999578,1.2,3.0,2.3333333333333335,1.0,0.0,4.47213595499958,1.2
3,1.0,0.0,10.990436789988104,1.4285714285714286,3.6,4.111111111111111,1.0,0.0,10.599900652402937,1.5047619047619047
4,1.0,0.0,29.341374903638133,1.651567944250871,3.857142857142857,6.481481481481481,1.0,0.0,29.37615251873612,1.934959349593496
5,1.0,0.0,82.60833282228643,1.8720511795281887,3.951219512195122,9.641975308641975,1.0,0.0,85.45427752290388,2.244702119152339
6,12.0,1.0,239.77190665607665,2.1025825286323827,3.9836065573770494,13.855967078189298,1.0,0.0,255.11831952171437,2.675933827382289
