n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,5.7138040351986525,1.3878571428571425,3.25,2.818461538461538,1.0,0.0,5.697641900088436,1.3707142857142856
16,1.0,0.0,11.827335617748172,1.5985833333333335,3.625,3.9331034482758622,1.0,0.0,11.812738126109473,1.5577499999999997
32,1.0,0.0,23.695461070267207,1.8113709677419347,3.8125,5.01344262295082,1.0,0.0,24.011458846975707,1.8053225806451614
64,1.02,0.02,47.12534867108706,2.050873015873016,3.90625,6.092160000000002,1.0,0.0,48.031145591875074,2.0448115079365077
128,1.01,0.01,93.80914838082941,2.268275098425197,3.953125,7.121185770750987,1.0,0.0,96.31241430665531,2.329350393700788
256,1.08,0.08,186.43299106689608,2.4901804534313725,3.9765625,8.131100196463654,1.0,0.0,192.34593635983583,2.595231924019608
512,1.33,0.3,371.64543818375915,2.703052378913894,3.98828125,9.104622918707149,1.0,0.0,384.8045271570804,2.8939492111056757
1024,1.68,0.62,740.4677394936764,2.9045032227517105,3.994140625,10.109276283618582,1.0,0.0,768.4524486446167,3.1725261944037144
