n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,6.84161925296378,1.3111111111111111,2.1999999999999993,1.2727272727272725,1.0,0.0,6.497727905886304,1.0544444444444445
16,1.0,0.0,12.479338752737274,1.483856209150327,2.3333333333333335,1.498095238095238,1.0,0.0,12.02405613714749,1.1488235294117646
32,1.0,0.0,23.725877646498017,1.712994652406417,2.4117647058823524,1.6656097560975613,1.0,0.0,22.954706100668044,1.232263814616756
64,1.0,0.0,46.20003749032857,2.0655850815850814,2.4545454545454546,1.7835802469135802,1.0,0.0,44.81938983280011,1.2973706293706295
128,1.03,0.03,91.16334015705019,2.509892665474061,2.4769230769230774,1.8564596273291927,1.0,0.0,88.53644807687223,1.32985450208706
256,1.16,0.16,181.05205444263672,3.145297861430338,2.4883720930232553,1.8999376947040503,1.0,0.0,176.01686496039733,1.366347238560613
512,1.75,0.54,360.7700137537664,3.920809990822279,2.494163424124514,1.9342121684867397,1.0,0.0,350.6010651171294,1.3928036043415934
1024,3.28,0.75,720.1439849197649,4.919575029715209,2.4970760233918123,1.9564637002341916,1.0,0.0,700.0486459617146,1.4123617933723198
