n,unique_mean,unique_p,energy,multipath,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,6.828427124746198,1.428571428571428,1.0,0.0,6.268645218689718,1.6010714285714283
16,1.0,0.0,13.352372379537524,1.8666666666666671,1.0,0.0,13.585969977747276,1.6680833333333331
32,1.0,0.0,26.51919101248418,2.838709677419354,1.0,0.0,27.56589994436016,1.7343346774193549
64,1.58,0.58,52.95629177250226,4.825396825396823,1.0,0.0,55.48003810879299,1.7601091269841274
128,4.39,1.0,105.86923142177692,8.818897637795278,1.0,0.0,111.34160603107219,1.7896112204724413
256,6.35,1.0,211.71740361671226,16.8156862745098,1.0,0.0,222.9024822208554,1.809218137254902
512,9.81,1.0,423.4241287215237,32.81409001956946,1.0,0.0,446.1521657510844,1.811867126345401
1024,14.11,1.0,846.842956055567,64.81329423264906,1.0,0.0,892.591263032379,1.8117976768695019
