n,unique_mean,unique_p,energy,multipath,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,6.9220937217393494,1.4885714285714287,1.0,0.0,6.324868940646095,1.5671428571428572
16,1.0,0.0,13.647089309883027,1.81225,1.0,0.0,13.47123837160021,1.6700833333333336
32,1.01,0.01,27.05317119044689,2.1067741935483872,1.0,0.0,27.38671073237918,1.742076612903226
64,1.66,0.6,53.99447363000172,2.3959027777777777,1.0,0.0,55.14743907453277,1.7881795634920636
128,3.45,1.0,107.81293294434573,2.660675442913386,1.0,0.0,110.71674576326946,1.8134510334645675
256,6.27,1.0,215.54887431811346,2.969870404411765,1.0,0.0,221.73465721454278,1.8339503676470588
512,10.6,1.0,430.9583613271258,3.2544843902886504,1.0,0.0,443.9257265211497,1.8405572712818006
1024,15.27,1.0,861.6518037713504,3.5710502390334797,1.0,0.0,888.1667230936458,1.847418858443304
