n,unique_mean,unique_p,energy,multipath,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,6.425552738426214,1.566428571428571,1.0,0.0,6.40111804895403,1.564285714285714
16,1.0,0.0,13.909349142921748,1.8646666666666665,1.0,0.0,13.905806504890874,1.8485
32,1.0,0.0,28.61685053344393,2.271350806451613,1.0,0.0,28.794619336039617,2.23195564516129
64,1.01,0.01,57.4158896600681,2.592881944444444,1.0,0.0,58.162216346500685,2.58077876984127
128,1.01,0.01,113.94650181692442,2.9062881397637783,1.0,0.0,116.0826735736408,2.939867125984252
256,1.34,0.34,225.08049907300276,3.2572120098039217,1.0,0.0,231.51563024340237,3.3545805759803926
512,1.81,0.7,446.175729122136,3.638782335494128,1.0,0.0,461.1044866051588,3.799235414628181
1024,2.17,0.98,886.1384072729356,4.014599408907625,1.0,0.0,919.245304436349,4.290619215084311
