n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,5.164983045184905,1.2610714285714284,2.4225,1.5344615384615383,1.0,0.0,5.375510587131648,1.1757142857142857
16,1.07,0.07,10.73412071202228,1.5170000000000001,2.7775,2.1052803066606787,1.0,0.0,11.299088439555682,1.3185833333333332
32,1.14,0.1,22.137956530169436,2.1446370967741935,3.059375,2.6650603015638064,1.0,0.0,23.49600810134665,1.5161693548387094
64,1.57,0.28,44.66355322392788,3.8719047619047626,3.2578125,3.2407711281534044,1.0,0.0,47.759627668865875,1.7202827380952384
128,3.08,0.77,90.90211422345514,11.596668307086615,3.4475,3.8371727299352334,1.0,0.0,96.71848185303931,1.9179933562992126
256,6.12,0.99,182.30311498002348,90.39457689950979,3.543125,4.2823200541739075,1.0,0.0,194.78815012921564,2.106361825980392
512,10.11,1.0,367.47003138824255,1096.1741610353474,3.7093359375,5.118079184845995,1.0,0.0,391.5245307148827,2.3680498562866927
1024,15.24,1.0,733.4669079443875,332033.1114044935,3.73740234375,5.6645378431188025,1.0,0.0,779.3311859637173,2.5535490553213585
