n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,5.8582981728220895,1.3239285714285716,3.25,2.8492307692307697,1.0,0.0,5.722834147407386,1.3357142857142856
16,1.0,0.0,11.972294310355638,1.5100833333333332,3.625,4.025862068965518,1.0,0.0,11.80992083717755,1.5430833333333331
32,1.0,0.0,23.895313096409136,1.6798790322580643,3.8125,5.16688524590164,1.0,0.0,23.84863640154739,1.7922580645161292
64,1.74,0.51,47.57186936796913,1.9216319444444443,3.90625,6.196640000000001,1.0,0.0,47.98112389346024,2.038338293650794
128,4.43,0.99,94.45186077042548,2.165119340551181,3.953125,7.177588932806325,1.0,0.0,96.29920793304805,2.30958907480315
256,6.95,1.0,187.00920936206444,2.4322064950980393,3.9765625,8.283497053045187,1.0,0.0,192.1554147788794,2.6176985294117645
512,10.89,1.0,371.91312585122216,2.750415316169275,3.98828125,9.360646425073458,1.0,0.0,383.92465045203085,2.874614955357143
1024,14.81,1.0,741.6782433150527,3.0905138074291294,3.994140625,10.378533007334964,1.0,0.0,767.4123044340943,3.167204491996579
