n,unique_mean,unique_p,energy,multipath,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.02,0.02,3.802505307308027,1.1042857142857143,1.0,0.0,3.955835734479066,1.015
16,1.22,0.22,7.921252912730674,1.2288333333333332,1.19,0.19,8.355663372971096,1.1375833333333332
32,1.42,0.34,16.47310362875357,1.5857661290322582,1.21,0.21,17.685195977263007,1.2415120967741935
64,1.99,0.56,35.126287852473546,2.539171626984127,1.23,0.2,38.24749871213572,1.4804513888888886
128,3.56,0.84,70.97202200865456,5.734860974409449,1.3,0.22,77.63842441643386,1.6802989665354329
256,5.31,0.96,132.5112384131062,22.468683210784317,1.56,0.34,144.9537361926994,1.747917279411765
512,7.88,0.99,304.94384200299106,636.8533534888699,1.55,0.28,328.05709074420463,2.087501452421722
1024,11.35,1.0,609.2268620050157,16173.028270959345,1.34,0.26,654.7106602740943,2.255408953445748
