n,unique_mean,unique_p,energy,multipath,mean_k,mean_kk,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.01,0.01,5.157031887900156,1.2939285714285713,2.53,1.6644731934731933,1.0,0.0,5.420773881192138,1.2267857142857141
16,1.1,0.1,10.769875152764275,1.6102499999999995,2.985,2.420694850967851,1.0,0.0,11.596040005286765,1.3960833333333331
32,1.39,0.23,22.387467172796672,2.5081653225806453,3.4375,3.2477046689810023,1.0,0.0,24.42501918883404,1.6398185483870966
64,1.99,0.42,45.80669726121834,4.662420634920635,3.7290625,4.018038633491892,1.0,0.0,50.066928149507746,1.9128174603174606
128,4.57,0.91,93.00860251771017,13.906316437007872,4.039375,5.106557863731674,1.0,0.0,101.64654804568947,2.24562623031496
256,8.34,1.0,187.676916023977,132.65622303921572,4.310234375,6.285364042707504,1.0,0.0,206.46600942306281,2.5985582107843133
512,13.39,1.0,377.37146024311625,12338.159459240462,4.537734375,7.705740429492103,1.0,0.0,414.4194817331821,2.993118960983366
1024,19.44,1.0,755.3332417512992,113576.87949468859,4.6345703125,8.897572934059536,1.0,0.0,826.7642760263567,3.330923295454545
