n,unique_mean,unique_p,energy,multipath,rnd_unique_mean,rnd_unique_p,rnd_energy,multipath_rnd
8,1.0,0.0,7.006306400886993,1.5842857142857145,1.0,0.0,6.2756235082859835,1.5428571428571431
16,1.0,0.0,13.813707264334418,1.7926666666666669,1.0,0.0,13.348509726102412,1.6993333333333334
32,1.0,0.0,27.417540192008502,1.9239717741935487,1.0,0.0,27.226048192056787,1.7597782258064512
64,1.19,0.17,54.394822982564676,2.0371230158730156,1.0,0.0,54.910396933435635,1.8096180555555554
128,1.75,0.53,108.71567011826514,2.110604084645669,1.0,0.0,110.19195304892342,1.8415280511811027
256,3.54,1.0,217.1749702293053,2.202580575980392,1.0,0.0,220.70514230788402,1.8600079656862745
512,7.02,1.0,434.03588487887987,2.2890437714041094,1.0,0.0,441.8597807962249,1.8696554702788653
1024,12.97,1.0,868.1068718013962,2.3754774369195992,1.0,0.0,884.1496569983055,1.8771520459127564
